F [B-] ( F ) ( F ) F . N # [N+] c 1 c c c 2 c c c c c 2 c 1 . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 | [v47]
C 1 C C N C C 1 . C = C c 1 c c c c c 1 . O = C 1 C C C ( = O ) N 1 Cl . [O-] [Cl+3] ( [O-] ) ( [O-] ) [O-] . c 1 c c [nH+] c c 1 | [v35]
C = C c 1 c c c c c 1 . C C C C O . F B ( F ) F . [F-] . c 1 c c c ( [I+] c 2 c c c c c 2 ) c c 1 | [v30]
C = C ( C C ) c 1 c c c ( Br ) c c 1 . C C N ( C C ) C C . F . O = C ( O N = C 1 C C C 1 ) c 1 c c c ( C ( F ) ( F ) F ) c c 1 | [v0]
C = C / C = C / c 1 c c c c c 1 . C C ( C ) ( C ) O C ( = O ) O N = C 1 C C C 1 . O = C ( O ) c 1 c c c ( F ) c c 1 F | [v9]
C = C C ( = O ) O C C C C . C C ( C ) ( C ) O C ( = O ) n 1 c ( C N C c 2 c c c c c 2 ) c c 2 c c c n c 2 1 . C C C C = O | [v0]
C C ( C ) ( C ) O N = O . C C ( C ) ( C ) c 1 c c c ( N ) c c 1 . C O c 1 c c c ( N ( C ) C ( = O ) C # C c 2 c c c c c 2 ) c c 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v2]
C = C c 1 c c c c c 1 . C O . C c 1 c c c c ( [I+] c 2 c c c c ( C ) c 2 ) c 1 . F B ( F ) F . [F-] | [v30]
C = C C = C . C C ( C ) = C C O c 1 c c c c c 1 Br . C C 1 C C C C N 1 | [v0]
C # C c 1 c c c ( Br ) c c 1 . F [B-] ( F ) ( F ) C 1 C C C C 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 . [K+] | [v51]
C = C c 1 c c c c ( Br ) c 1 . C c 1 c c c ( S ( = O ) ( = O ) N [n+] 2 c c c c c 2 ) c c 1 . F [B-] ( F ) ( F ) F | [v0]
C = C c 1 c c c ( C ( F ) ( F ) F ) c c 1 C . F c 1 c c c 2 c ( c 1 ) c 1 c c ( F ) c c c 1 [s+] 2 C ( F ) ( F ) F . O | [v0]
C S ( C ) = O . C S C # C C C C c 1 c c c c c 1 . F C ( F ) ( F ) C ( F ) ( F ) C ( F ) ( F ) C ( F ) ( F ) F | [v0]
C # C c 1 c c c c c 1 . C c 1 c c c ( S ( = O ) ( = O ) [Na] ) c c 1 . O = C ( O ) c 1 c c c c c 1 I | [v15]
C O c 1 c c c ( C = O ) c c 1 . I C 1 C C C C C 1 . N c 1 c c c ( I ) c c 1 | [v10]
C 1 = C O C C 1 . C C O C ( = O ) C ( F ) ( F ) Br . C c 1 c c c ( S ( = O ) ( = O ) C # C c 2 c c c c c 2 ) c c 1 | [v0]
C = C / C = C / c 1 c c c ( Br ) c c 1 . C C ( C ) ( C ) O C ( = O ) O N = C 1 C C C 1 . C O C ( = O ) c 1 c c c ( C ( = O ) O ) c c 1 | [v9]
C = C c 1 c c c c ( [N+] ( = O ) [O-] ) c 1 . O = O . S = C = S | [v52]
C C ( C ) ( C ) O O . C C O C ( = O ) C # C C ( = O ) O C C . N c 1 c ( Br ) c c c c 1 Br | [v0]
C = C c 1 c c ( C ) c c c 1 C . F c 1 c c c 2 c ( c 1 ) c 1 c c ( F ) c c c 1 [s+] 2 C ( F ) ( F ) F . O | [v0]
C c 1 c c c ( C ( = C 2 C C 2 ) c 2 c c c c c 2 ) c c 1 C . C c 1 c c c ( S ( = O ) ( = O ) Cl ) c c 1 . O | [v0]
C = C N C ( C ) = O . C C O C ( = O ) c 1 c c c n c 1 C . C O C ( = O ) C Br | [v34]
C 1 = C c 2 c c c c c 2 C C 1 . C C # N . C c 1 c c c ( C ) c ( [S+] ( c 2 c c c c c 2 C ) C ( F ) F ) c 1 . F [B-] ( F ) ( F ) F . O | [v0]
C C O C ( = O ) C C C Br . Cl . [C-] # [O+] | [v20]
I C 1 C C O C C 1 . O = C ( / C = C / c 1 c c c c c 1 ) c 1 c c c c c 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v45]
O = C ( O ) C 1 C C O C C 1 . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 . [N-] = [N+] = N [Na] | [v23]
C = C C C ( C C = C ) ( C ( = O ) O C C ) C ( = O ) O C C . Cl c 1 c c c 2 c c c c c 2 c 1 . O = S ( O [Na] ) c 1 c c c c c 1 | [v12]
C # C c 1 c c c c c 1 . C O . C c 1 c c c c ( C ( = O ) O ) c 1 N . O = O | [v3]
C ( # C c 1 c c c c c 1 ) C O c 1 c c c c c 1 . F [B-] ( F ) ( F ) F . N # [N+] c 1 c c c c c 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v0]
C c 1 c c c ( S ( = O ) ( = O ) N N = C c 2 c c c c c 2 ) c c 1 . O = C c 1 c c c s 1 . S c 1 c c c c c 1 | [v0]
C = C ( C ) c 1 c c c c 2 c c c c c 1 2 . C [Si] ( C ) ( C ) N = [N+] = [N-] . O = O | [v21]
C O c 1 c c c ( C C C = O ) c c 1 . F C ( F ) ( F ) I . c 1 c c c ( C N C c 2 c c c c c 2 ) c c 1 | [v4]
C = C c 1 c c c c c 1 . C C C C O . F B ( F ) F . [F-] . c 1 c c c ( [I+] c 2 c c c c c 2 ) c c 1 | [v30]
C c 1 c c c c c 1 N . O = C ( O N = C 1 C C C 1 ) c 1 c c c ( C ( F ) ( F ) F ) c c 1 . [C-] # [O+] | [v0]
C C ( C ) O . C c 1 c c c c c 1 [N+] # N . F [B-] ( F ) ( F ) F . [C-] # [O+] | [v0]
C = C ( C C C O ) c 1 c c c c c 1 . F [B-] ( F ) ( F ) F . N # [N+] c 1 c c c ( F ) c c 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v0]
C = C C O c 1 c c c c c 1 C ( = C ) c 1 c c c c ( C ) c 1 . O = C ( O N = C 1 C C C 1 ) c 1 c c c ( C ( F ) ( F ) F ) c c 1 . O = S ( O [K] ) O S ( = O ) O [K] | [v0]
C c 1 c c ( F ) c c c 1 N O C ( = O ) c 1 c c c c c 1 . O = C ( O ) C 1 C C C C C 1 . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 | [v23]
C = C c 1 c c c c c 1 . C C C C # N . F [B-] ( F ) ( F ) F . N # [N+] c 1 c c c ( [N+] ( = O ) [O-] ) c c 1 . O | [v0]
C / C = C / c 1 c c c ( O C ) c c 1 . C O c 1 c c c c c 1 C . F C ( F ) ( F ) [s+] 1 c 2 c c c c c 2 c 2 c c c c c 2 1 . F [B-] ( F ) ( F ) F | [v0]
C = C C = C . C C ( C ) = C C O c 1 c c c ( C ) c c 1 Br . C c 1 c c c ( S ( = O ) O [Na] ) c c 1 | [v0]
C C ( C ) ( C ) O N = O . C O c 1 c c c ( N ( C ) C ( = O ) C # C c 2 c c c ( C ) c c 2 ) c c 1 . C O c 1 c c c ( N ) c c 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v2]
F [B-] ( F ) ( F ) F . F c 1 c c c ( [I+] c 2 c c c ( F ) c c 2 ) c c 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 . O = [PH] ( c 1 c c c c c 1 ) c 1 c c c c c 1 | [v0]
C = C c 1 c c c ( C ( C ) ( C ) C ) c c 1 . C C ( C ) ( C ) C ( = O ) O N 1 C ( = O ) c 2 c c c c c 2 C 1 = O | [v0]
C # C C C C C C C . C O . N c 1 c c c c c 1 C ( = O ) O . O = O | [v3]
C = C ( C ) c 1 c c c c c 1 . C O . F C ( F ) [P+] ( c 1 c c c c c 1 ) ( c 1 c c c c c 1 ) c 1 c c c c c 1 . [Br-] | [v0]
C = C C 1 C c 2 c c c c c 2 O 1 . C O [n+] 1 c c c ( C # N ) c c 1 | [v0]
C C C C C # N . C N ( C ) c 1 c c c c c 1 . O = C ( O ) c 1 c c c c c 1 | [v0]
C = C c 1 c c c 2 c c c c c 2 c 1 . C N ( C ) C = O . F c 1 c c c 2 c ( c 1 ) c 1 c c ( F ) c c c 1 [s+] 2 C ( F ) ( F ) F . O | [v1]
C C ( = O ) O C ( C ) = O . C C ( C ) ( C ) C 1 = C C ( = C c 2 c c c c c 2 ) C = C ( C ( C ) ( C ) C ) C 1 = O . F [B-] ( F ) ( F ) [C@@H] 1 C 2 C C C ( C 2 ) C 1 c 1 c c c c c 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 . [K+] | [v39]
Br c 1 c c c 2 s c 3 c c c c c 3 c 2 c 1 . C = C C ( = O ) O C . O = C 1 C C C C 1 | [v13]
C = C c 1 c c c ( C ( C ) ( C ) C ) c c 1 . N # C c 1 c c n c c 1 C # N | [v16]
C = C c 1 c c c ( F ) c c 1 . C n 1 c ( = O ) c n c 2 c c c c c 2 1 . F [B-] ( F ) ( F ) F . N # [N+] c 1 c c c c c 1 . O = S ( O [Na] ) O S ( = O ) O [Na] | [v1]
C C C C n 1 c c c 2 c c c c c 2 1 . O c 1 c c c c c 1 . [C-] # [O+] | [v0]
C = C C C ( C C = C ) ( C ( = O ) O C C ) C ( = O ) O C C . C C ( = O ) c 1 c c c ( Br ) c c 1 . O = S ( O [Na] ) c 1 c c c ( Cl ) c c 1 | [v12]
C O C ( = O ) C 1 C C C C C 1 C ( = O ) O . O = C ( O N 1 C C O C C 1 ) c 1 c c c c c 1 . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 | [v22]
C C ( C c 1 c c c ( C ( F ) ( F ) F ) c c 1 ) = N N S ( = O ) ( = O ) c 1 c c c ( C ) c c 1 . O = S ( O [Na] ) C ( F ) ( F ) F | [v0]
C C ( = O ) O C ( C 1 = C C C C 1 = O ) c 1 c c c c ( C ) c 1 . C C O C ( = O ) C 1 = C ( C ) N C ( C ) = C ( C ( = O ) O C C ) C 1 C 1 C C C C C 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v0]
C C ( C ) I . C N C c 1 c c c c c 1 . O = C c 1 c c c s 1 | [v8]
I C 1 C C C C C 1 . N C 1 C C C C C 1 . [C-] # [O+] | [v53]
C # C c 1 c c c c c 1 . C C C C C C S . N # C c 1 c c n c ( N ) c 1 . O = O | [v0]
C = C c 1 c c c ( C ( C ) ( C ) C ) c c 1 . C c 1 c c c ( S ( = O ) O [Na] ) c c 1 . N c 1 c c c c c 1 . O = C c 1 c c c c c 1 | [v0]
C = C C ( = O ) O C C C C . C C C C = O . N # C C C N C c 1 c c c c c 1 | [v0]
C = C ( N = [N+] = [N-] ) c 1 c c c ( Cl ) c c 1 . C C O C ( = O ) C 1 = C ( C ) N C ( C ) = C ( C ( = O ) O C C ) C 1 C 1 C C C C C 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v0]
C # C c 1 c c c ( C # N ) c c 1 . C O . O = O | [v6]
C = C c 1 c c c c c 1 . O = C = O . S c 1 c c c c c 1 | [v27]
C # C C C C ( C ) C . C O . N c 1 c c c c c 1 C ( = O ) O . O = O | [v3]
C 1 C C C C C 1 . C C ( = O ) C 1 C C C C C 1 . C c 1 c c c c ( N c 2 c c c c c 2 ) c 1 | [v4]
C = C c 1 c c c c c 1 O C . N c 1 c c c c c 1 . O = C 1 c 2 c c c c c 2 C ( = O ) N 1 O C ( = O ) C 1 2 C [C@H] 3 C [C@@H] ( C 1 ) C [C@@H] ( C 2 ) C 3 | [v33]
C = C c 1 c c c ( C ( C ) ( C ) C ) c c 1 . C O [n+] 1 c c c ( C # N ) c c 1 | [v0]
C # C c 1 c c c c c 1 . C C C C O . C C N c 1 c c c c c 1 | [v3]
C = C c 1 c c c ( O C ) c c 1 . C c 1 c c c ( C S ( = O ) ( = O ) N N ) c c 1 . O = O | [v0]
C # C c 1 c c c c ( O C ) c 1 . C C O C ( = O ) C ( Br ) C ( = O ) O C C . C O c 1 c c c ( C # N ) c c 1 . O | [v0]
C = C c 1 c c c ( Cl ) c c 1 Cl . O = O . S = C = S | [v52]
C C ( = O ) O [C@H] 1 C C 2 C [C@@H] ( O C ( C ) = O ) [C@H] 3 [C@@H] 4 C C [C@H] ( [C@H] ( C ) C C C ( = O ) O ) [C@@] 4 ( C ) C C [C@@H] 3 C 2 [C@H] ( C ) C 1 . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 . [N-] = [N+] = N [Na] | [v23]
C = C c 1 c c c c c 1 C ( = O ) O . C C # N . F [B-] ( F ) ( F ) F . N # [N+] c 1 c c c c c 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v1]
C = C / C = C / C C c 1 c c c c c 1 . C C ( C ) ( C ) O C ( = O ) O N = C 1 C C C 1 . C O C ( = O ) c 1 c c c ( C ( = O ) O ) c c 1 | [v9]
C = C ( c 1 c c c c c 1 ) c 1 c c c c c 1 . F [B-] ( F ) ( F ) F . N # C C [n+] 1 c ( - c 2 c c c c c 2 ) c c ( - c 2 c c c c c 2 ) c c 1 - c 1 c c c c c 1 | [v0]
C C ( I ) C c 1 c c c c c 1 . C O c 1 c c c ( N ) c c 1 . C c 1 c c c c ( C = O ) c 1 | [v10]
C # C c 1 c c c ( O C ) c c 1 . F [B-] ( F ) ( F ) C 1 C C C C 1 . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 . [K+] | [v51]
C 1 = C ( c 2 c c c c n 2 ) C C C C 1 . C = C c 1 c c c ( C ( C ) ( C ) C ) c c 1 | [v0]
Br c 1 c c c 2 o c 3 c c c c c 3 c 2 c 1 . C 1 C C C C C 1 . C = C C ( = O ) O C | [v13]
C # C c 1 c c c ( C C C ) c c 1 . O . c 1 c c c 2 c n c c c 2 c 1 | [v0]
C = C c 1 c c c ( C ( = O ) O c 2 c c c 3 c ( c 2 ) C C [C@@H] 2 [C@@H] 3 C C [C@] 3 ( C ) C ( = O ) C C [C@@H] 2 3 ) c c 1 . C C [SiH] ( C C ) C C . O = C = O | [v0]
C = C c 1 c c c ( O C ) c ( Br ) c 1 . N # C c 1 c c n c c 1 | [v16]
O = C ( C # C c 1 c c c c c 1 ) O c 1 c c c c ( Br ) c 1 . O = C ( O N = C 1 C C C 1 ) c 1 c c c ( C ( F ) ( F ) F ) c c 1 . O = S ( O [K] ) O S ( = O ) O [K] | [v2]
C = C c 1 c c c ( O C ) c c 1 . C O C ( = O ) C ( F ) ( F ) S ( = O ) ( = O ) F . C S ( C ) = O | [v1]
C # C c 1 c c c ( O C ) c c 1 . F [B-] ( F ) ( F ) F . N # [N+] c 1 c c c ( [N+] ( = O ) [O-] ) c c 1 . O = O . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v0]
C # C c 1 c c c c c 1 . C c 1 c c c ( S ( = O ) ( = O ) O [IH2] ( N = S ( C ) ( = O ) c 2 c c c ( Br ) c c 2 ) c 2 c c c c c 2 ) c c 1 . O = O | [v0]
F B ( F ) C 1 C C C C C 1 . N c 1 c c c c c 1 . O = C c 1 c c c c c 1 . [F-] . [K+] | [v0]
C C ( C ) c 1 c c c c ( C ( C ) C ) c 1 N . C c 1 c c c ( I ) c c 1 . [C-] # [O+] | [v20]
C = C ( C ) c 1 c c c c c 1 . C n 1 c c c 2 c c c c c 2 1 . O = C C 1 C C C C 1 | [v37]
C = C c 1 c c 2 c c c c c 2 o 1 . C O . [N-] = [N+] = N [IH2] 1 O C ( = O ) c 2 c c c c c 2 1 | [v0]
C C O C ( = O ) C ( F ) ( F ) F . C S ( C ) = O . C S C # C C C C c 1 c c s c 1 | [v0]
C [Si] ( C ) ( C ) N = [N+] = [N-] . O = C ( c 1 c c c c c 1 F ) n 1 c c c 2 c c c c c 2 1 . O = O | [v46]
C O C ( = O ) N ( C ) S ( = O ) ( = O ) c 1 c c ( [N+] ( = O ) [O-] ) c c ( [N+] ( = O ) [O-] ) c 1 . C c 1 c c c ( C C ( = O ) c 2 n c c n 2 - c 2 c c c c c 2 C ) c c 1 | [v0]
C # C c 1 c c c ( S ( C ) ( = O ) = O ) c c 1 . O = O . O c 1 c c c c c 1 | [v3]
C = C ( C ) c 1 c c c ( C ) c c 1 . C [Si] ( C ) ( C ) N = [N+] = [N-] . O = O | [v21]
Br C C C 1 C C C C C 1 . C = C ( c 1 c c c c c 1 ) c 1 c c c c c 1 N . O = C = O | [v0]
C # C c 1 c c c c c 1 . C c 1 c c c ( Br ) c c 1 . C c 1 c c c ( S ( = O ) O ) c c 1 | [v5]
C # C c 1 c c s c 1 . C C N c 1 c c c c c 1 . C O | [v3]
C = C N C ( C ) = O . C C c 1 c c c 2 n c c c c 2 c 1 . C O C ( = O ) C Br | [v48]
C c 1 c c ( C ) c c ( [PH] ( = O ) c 2 c c ( C ) c c ( C ) c 2 ) c 1 . F [B-] ( F ) ( F ) F . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 . c 1 c c c ( [I+] c 2 c c c c c 2 ) c c 1 | [v0]
C = C c 1 c c c c c 1 N S ( = O ) ( = O ) c 1 c c c ( C ) c c 1 . C S ( C ) = C C ( = O ) c 1 c c c c c 1 . F C ( F ) ( F ) [s+] 1 c 2 c c c c c 2 c 2 c c c c c 2 1 . F [B-] ( F ) ( F ) F | [v0]
C = C c 1 c c c ( N C ( = O ) C C C C [C@@H] 2 S C [C@@H] 3 N C ( = O ) N [C@H] 2 3 ) c c 1 . C c 1 c c c ( S ( = O ) O [Na] ) c c 1 . N c 1 c c c c c 1 . O = C c 1 c c c c c 1 | [v0]
C = C B 1 O C ( C ) ( C ) C ( C ) ( C ) O 1 . C C ( C ) ( Br ) C C c 1 c c c c c 1 . Cl c 1 c c c ( Br ) c c 1 Cl | [v36]
C = C c 1 c c c ( O C ) c c 1 . C c 1 c c c c ( N ) c 1 C . O = C ( O N 1 C ( = O ) c 2 c c c c c 2 C 1 = O ) C 1 C C C O 1 | [v33]
C # C C 1 C C 1 . N c 1 c c c ( [N+] ( = O ) [O-] ) c c 1 . O = O . S c 1 c c c c c 1 | [v0]
O . O = S ( = O ) ( Cl ) c 1 c c c ( Br ) c c 1 . c 1 c c c ( C ( = C 2 C C 2 ) c 2 c c c c c 2 ) c c 1 | [v0]
C = C ( O [Si] ( C ( C ) C ) ( C ( C ) C ) C ( C ) C ) c 1 c c c c c 1 . F C ( F ) ( F ) C ( F ) ( F ) C ( F ) ( F ) C ( F ) ( F ) I . N = C ( N ) c 1 n c c c n 1 | [v0]
C # C c 1 c c c ( C = O ) c c 1 . N c 1 c c c c c 1 . O B ( O ) C 1 C C C C 1 | [v2]
C = C c 1 c c c c c 1 . C c 1 c c c ( S ( = O ) O [Na] ) c c 1 . N # C c 1 c c n c c 1 | [v0]
C # C c 1 c c c ( F ) c c 1 . C c 1 c c c ( C ( = O ) O ) c c 1 . C c 1 c c c ( S ( = O ) O [Na] ) c c 1 | [v15]
C # C c 1 c c c ( C ) c c 1 . C c 1 c c c ( C ( = O ) O ) c c 1 . O = S ( O [Na] ) c 1 c c c c c 1 | [v15]
C # C C C C C C . C O . N c 1 c c c c c 1 C ( = O ) O . O = O | [v3]
C # C c 1 c c c ( C ) c c 1 . C C N ( N ) c 1 c c c c c 1 . C C O C ( = O ) C ( F ) ( F ) Br . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v0]
C = C O C C . C C O C ( = O ) C C ( = O ) c 1 c c c c c 1 . C c 1 c c n c 2 c c c c c 1 2 | [v0]
C O C ( = O ) c 1 c c c ( C = O ) c c 1 . F [B-] ( F ) ( F ) C O C C O C c 1 c c c c c 1 . N c 1 c c c c c 1 . [K+] | [v0]
C = C C C C C C C C C . O = S ( = O ) ( / C = C / c 1 c c c c c 1 ) c 1 c c c c c 1 . O = S ( O [Na] ) C ( F ) ( F ) F | [v2]
C = C C = C . C C ( C ) = C C O c 1 c c c ( F ) c c 1 Br . C c 1 c c c ( S ( = O ) O [Na] ) c c 1 | [v0]
Br c 1 c c c 2 c c n c c 2 c 1 . C = C O C C . C C O C ( = O ) C C ( = O ) c 1 c c c c c 1 | [v0]
C C O C ( = O ) C ( = O ) C C c 1 c c c c c 1 . I C 1 C C O C C 1 . N C c 1 c c c c c 1 | [v17]
C # C c 1 c c c c c 1 . C c 1 c c c ( S ( = O ) ( = O ) [Na] ) c c 1 . O = C ( O ) c 1 c c c c c 1 | [v15]
C 1 C C N C C 1 . C c 1 c c c ( Br ) c c 1 . [C-] # [O+] | [v4]
C = C / C = C \ C C c 1 c c c 2 c ( c 1 ) O C O 2 . C C ( C ) = C C O c 1 c c c c c 1 Br . C c 1 c c c ( S ( = O ) O [Na] ) c c 1 | [v0]
C O C ( = O ) C C C C C ( = O ) O . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 . [N-] = [N+] = N [Na] | [v23]
C = C c 1 c c c c c 1 O . C C ( C ) O [n+] 1 c c c c c 1 . C S ( C ) = C C ( = O ) c 1 c c c 2 c c c c c 2 c 1 . O = S ( = O ) ( [O-] ) C ( F ) ( F ) F | [v6]
C = C C O c 1 c c c ( Cl ) c c 1 [N+] # N . C C C C O . F [B-] ( F ) ( F ) F . [C-] # [O+] | [v43]
C # C c 1 c c c ( C ( = O ) O C ) c c 1 . C C ( C ) ( C ) O C ( = O ) N C ( C ) ( C ) C ( = O ) O | [v7]
C # C c 1 c c c ( Br ) c c 1 . C C ( C ) ( C ) O C ( = O ) N 1 C C C C 1 C ( = O ) O | [v7]
C c 1 c c c ( S ) c c 1 . F [B-] ( F ) ( F ) F . N # [N+] c 1 c c c ( [N+] ( = O ) [O-] ) c c 1 . O = S ( O [Na] ) O S ( = O ) O [Na] | [v0]
C / C = C / c 1 c c c ( O C ) c c 1 . C C [N+] ( C C ) = C ( C ) / N = S ( / c 1 c c c c c 1 ) C ( F ) ( F ) Br . C O . O = S ( = O ) ( [O-] ) C ( F ) ( F ) F | [v0]
C # C c 1 c c c ( C ) c c 1 . N C C c 1 c [nH] c 2 c c c c c 1 2 . O = O | [v11]
C = C ( C C ) c 1 c c c ( Cl ) c c 1 . C C N ( C C ) C C . F . O = C ( O N = C 1 C C C 1 ) c 1 c c c ( C ( F ) ( F ) F ) c c 1 | [v0]
C = C c 1 c c c c c 1 . F [B-] ( F ) ( F ) F . N # C C Cl . N # [N+] c 1 c c c ( [N+] ( = O ) [O-] ) c c 1 . O | [v0]
C = C ( O [Si] ( C ( C ) C ) ( C ( C ) C ) C ( C ) C ) c 1 c c c ( C ) c c 1 . F C ( F ) ( F ) C ( F ) ( F ) C ( F ) ( F ) C ( F ) ( F ) I . N = C ( N ) c 1 c c c ( Br ) c c 1 | [v0]
C = C c 1 c c c c c 1 N S ( = O ) ( = O ) c 1 c c c ( C ) c c 1 . C S ( C ) = C C ( = O ) c 1 c c c c c 1 . O = S ( = O ) ( C I ) c 1 c c c c c 1 | [v0]
C = C ( C ( = O ) O C ) N ( C ( = O ) O C ( C ) ( C ) C ) C ( = O ) O C ( C ) ( C ) C . C c 1 c c c ( N ) c ( I ) c 1 . O = C c 1 c c c ( F ) c c 1 | [v31]
C = C c 1 c c c c c 1 . C n 1 c ( = O ) c n c 2 c c c c c 2 1 . F [B-] ( F ) ( F ) F . N # [N+] c 1 c c c ( C ( F ) ( F ) F ) c c 1 . O = S ( O [Na] ) O S ( = O ) O [Na] | [v1]
C N ( N ) c 1 c c c c c 1 . O = S ( = O ) ( O [IH2] ( c 1 c c c c c 1 ) c 1 c c c c c 1 ) C ( F ) ( F ) F . O = S ( O [K] ) O S ( = O ) O [K] | [v2]
C # C C 1 C C 1 . N C C c 1 c [nH] c 2 c c c c c 1 2 . O = O | [v11]
C = C c 1 c c c ( C ) c c 1 . N # C c 1 c c [n+] ( O C C C Cl ) c c 1 | [v0]
C = C C ( = O ) O C C C C . C C ( C ) ( C ) O C ( = O ) N 1 C C ( C = O ) C 1 . c 1 c c c ( C N C c 2 c c c c c 2 ) c c 1 | [v0]
C = C C O c 1 c c c c c 1 C ( = C ) c 1 c c c c c 1 . C C ( C ) ( C ) O C ( = O ) C 1 C C ( = N O C ( = O ) c 2 c c c ( C ( F ) ( F ) F ) c c 2 ) C 1 . O = S ( O [K] ) O S ( = O ) O [K] | [v0]
C = C c 1 c c c c c 1 Br . C C # N . C c 1 c c c ( [N+] # N ) c c 1 . F [B-] ( F ) ( F ) F . O . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v1]
C = C ( c 1 c c c c c 1 ) c 1 c c c c c 1 . C C 1 ( C ) C C / C 1 = N / O C ( = O ) c 1 c c c ( C ( F ) ( F ) F ) c c 1 . C C N ( C C ) C C . F | [v0]
C C ( C ) I . O = C C C c 1 c c c c c 1 . c 1 c c c 2 c ( c 1 ) C 1 C N C C 2 C 1 | [v8]
C # C c 1 c c c c c 1 . C c 1 c c c ( S ( = O ) O ) c c 1 . N # C c 1 c c c c ( Br ) c 1 | [v5]
C = C c 1 c c c c c 1 . C C O C ( = O ) C ( F ) ( F ) Br . C S ( C ) = O | [v0]
C c 1 c c c ( C ( = O ) C C C C ( = O ) O ) s 1 . O = [S-] ( = O ) [N+] 1 2 C C [N+] ( [S-] ( = O ) = O ) ( C C 1 ) C C 2 . [N-] = [N+] = N [Na] | [v23]
C 1 C O C C N 1 . C = C ( c 1 c c c c c 1 ) c 1 c c c c c 1 . O = C 1 C C C C C 1 | [v0]
O . O = [N+] ( [O-] ) c 1 c c c ( S ( = O ) ( = O ) Cl ) c c 1 . c 1 c c c ( C ( = C 2 C C 2 ) c 2 c c c c c 2 ) c c 1 | [v0]
C # C c 1 c c c ( C ( N ) = O ) c c 1 . O = O . O c 1 c c c c c 1 | [v3]
C = C ( C C C O ) c 1 c c c c c 1 . C c 1 c c c ( [N+] # N ) c c 1 . F [B-] ( F ) ( F ) F . O = S ( [O-] ) [N+] 1 2 C C [N+] ( S ( = O ) [O-] ) ( C C 1 ) C C 2 | [v0]
C S ( C ) = O . C S C # C C C C c 1 c c c c c 1 . O = C ( N 1 C C N ( c 2 c c c c c 2 ) C C 1 ) C ( F ) ( F ) F | [v0]
C = C / C = C / c 1 c c c c c 1 . C C ( C ) ( C ) O C ( = O ) O N = C 1 C C C 1 . C O C ( = O ) [C@H] ( C C C ( = O ) O ) N C ( = O ) O C ( C ) ( C ) C | [v9]
C O C ( = O ) N ( C ) S ( = O ) ( = O ) c 1 c c ( [N+] ( = O ) [O-] ) c c ( [N+] ( = O ) [O-] ) c 1 . C c 1 c n c c c 1 - n 1 c c n c 1 C ( = O ) C c 1 c c c c c 1 | [v0]
C = C ( O [Si] ( C ( C ) C ) ( C ( C ) C ) C ( C ) C ) c 1 c c c c c 1 . F C ( F ) ( F ) C ( F ) ( F ) C ( F ) ( F ) C ( F ) ( F ) I . N = C ( N ) c 1 c c c n c 1 | [v0]
